Date;Time;ULG95;DK;ULTSU;ULTDK
05.06.2018;14:31;0;25002;4999;4001
06.06.2018;15:09;7000;27283;0;0
07.06.2018;15:21;3001;30856;0;0
08.06.2018;17:17;12001;16001;0;6700
09.06.2018;06:28;7000;20000;4001;3000
10.06.2018;20:50;8999;21003;0;3999
11.06.2018;12:00;0;0;0;0
12.06.2018;06:23;7001;27202;0;0
13.06.2018;04:37;7317;27001;0;0
14.06.2018;06:12;6197;28002;0;0
15.06.2018;04:41;3000;30802;0;0
16.06.2018;06:17;5001;26002;0;3001
17.06.2018;10:10;7001;18650;4001;4999
18.06.2018;18:10;9001;20999;0;4444
19.06.2018;17:36;0;30003;3957;0
20.06.2018;23:18;3957;30005;0;0
21.06.2018;22:26;9002;25496;0;0
22.06.2018;22:31;7002;26501;0;0
23.06.2018;12:00;0;0;0;0
24.06.2018;00:20;11999;14006;3000;6004
25.06.2018;10:21;5000;20000;3001;5999
26.06.2018;09:47;5000;21002;3501;4000
27.06.2018;06:39;4000;29503;0;0
28.06.2018;10:09;5000;25002;0;3999
29.06.2018;04:13;6001;25140;0;3000
